,Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Service_year_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_class,Sex_of_casualty,Age_band_of_casualty,Casualty_severity,Pedestrian_movement,Cause_of_accident,hour,minute
51,0,1,1,4,2,5,3,5,9,4,5,1,0,3,3,2,8,0,0,2,0,1,1,1,5,9,9,25
52,3,1,1,4,2,5,3,3,6,6,5,7,0,0,3,2,8,1,0,2,3,2,5,3,5,10,17,11
53,4,3,1,1,1,10,3,5,6,6,5,0,0,0,0,2,0,1,1,2,3,2,5,3,5,9,21,40
54,6,0,1,4,0,0,3,1,7,2,6,7,0,0,3,2,8,1,0,3,1,0,4,2,5,10,11,0
55,3,1,1,1,2,7,0,5,9,6,5,7,0,3,0,3,8,1,0,2,3,2,5,3,5,12,20,30
56,2,0,1,4,2,9,1,5,1,2,5,7,0,0,3,2,8,1,0,2,3,2,5,3,5,3,12,27
57,1,0,1,4,0,0,3,2,4,4,5,7,0,0,3,2,8,1,0,2,0,1,1,2,5,1,14,50
58,1,1,1,4,1,0,3,0,7,2,5,1,0,0,3,2,2,0,0,1,0,0,0,2,5,1,14,45
59,4,0,1,4,2,7,3,3,9,2,5,1,0,3,3,2,8,1,0,2,3,2,5,3,5,1,12,0
60,3,2,1,4,0,5,3,1,6,0,5,7,0,0,3,2,8,1,0,2,0,1,4,2,5,11,13,5
61,4,2,1,4,3,0,3,5,6,1,5,7,2,0,3,2,8,3,0,7,0,1,0,2,5,14,10,16
62,5,1,1,4,3,5,3,5,7,2,3,7,4,0,3,2,2,0,0,3,1,1,4,2,5,0,15,30
63,0,1,0,4,0,7,3,5,7,4,5,2,0,0,3,2,8,1,0,2,3,2,5,3,5,0,7,50
64,5,0,1,6,4,8,3,5,6,4,5,7,0,0,3,2,1,1,0,1,3,2,5,3,5,5,17,6
65,6,1,1,4,0,14,3,4,3,4,5,1,0,0,3,2,1,1,1,2,0,1,4,2,5,10,9,20
66,1,0,1,4,1,5,3,1,1,4,5,7,0,0,2,0,8,1,0,2,2,0,4,2,5,11,22,5
67,0,0,1,4,2,9,3,5,6,2,5,7,2,0,0,2,8,1,0,1,0,1,1,2,5,0,16,50
68,5,2,1,1,1,5,3,5,1,1,5,7,0,0,0,2,8,1,3,1,0,1,1,2,5,3,20,57
69,6,2,1,4,2,0,3,1,6,4,7,1,0,3,3,4,8,1,0,2,2,1,3,2,5,3,9,0
70,3,0,1,4,2,4,3,5,0,4,5,0,0,3,3,4,2,1,1,2,0,1,0,2,5,1,19,55
71,0,0,1,4,4,5,3,5,6,2,6,0,0,0,3,2,8,0,0,2,3,2,5,3,5,1,8,50
