,Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Service_year_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_class,Sex_of_casualty,Age_band_of_casualty,Casualty_severity,Pedestrian_movement,Cause_of_accident,hour,minute
6723,5,4,0,4,2,0,3,5,6,4,5,7,0,0,3,2,1,1,0,4,0,1,0,2,5,10,8,35
6724,3,0,1,4,0,5,3,5,6,2,5,7,0,0,3,2,8,1,0,2,0,1,0,2,5,1,9,32
6725,4,0,1,1,3,8,3,5,7,2,5,7,0,0,3,2,8,2,1,2,0,1,1,2,5,0,14,49
6726,6,2,1,0,1,14,3,5,9,2,5,3,0,0,3,2,8,1,1,2,0,1,0,2,5,16,14,59
6727,4,0,1,4,3,7,3,5,6,6,7,1,0,0,2,7,8,1,0,2,0,1,1,2,5,1,21,0
6728,6,0,1,4,2,0,3,5,7,2,5,0,0,0,3,2,8,2,0,2,3,2,5,3,5,1,8,30
6729,3,1,1,4,0,5,3,5,2,2,5,3,0,3,0,4,1,1,1,2,0,1,3,1,5,12,17,45
6730,0,2,1,4,1,4,3,0,7,2,5,7,0,0,3,2,8,1,0,2,2,0,2,2,5,11,11,20
6731,0,0,1,2,3,10,3,5,1,4,5,7,0,0,3,2,8,1,0,7,3,2,5,3,5,12,7,0
6732,2,0,1,0,3,0,3,2,7,4,5,0,0,0,0,2,8,0,0,2,1,0,4,1,5,9,0,44
6733,4,1,1,4,2,10,3,5,6,0,5,7,0,3,0,4,8,1,1,2,0,1,0,2,5,3,20,17
6734,5,1,1,4,2,0,3,5,6,0,1,0,0,0,3,2,8,0,0,2,2,0,3,2,2,0,14,10
6735,3,2,1,4,0,5,3,5,2,2,5,7,0,0,3,2,8,1,0,2,1,0,1,2,5,11,15,0
6736,5,4,0,4,1,9,3,0,6,2,5,7,0,0,3,2,8,1,0,2,3,2,5,3,5,1,16,0
6737,1,0,1,4,3,0,3,1,6,2,5,7,0,0,3,2,8,2,0,2,3,2,5,3,5,13,11,50
6738,0,1,1,1,2,7,3,5,6,0,5,1,0,0,2,2,8,0,0,2,0,1,0,2,5,1,17,3
6739,1,3,1,1,1,0,3,5,6,6,5,2,0,0,3,2,8,1,0,3,2,0,1,2,1,12,15,56
6740,0,2,1,4,2,0,3,3,9,6,5,0,0,3,0,2,2,1,0,2,3,2,5,3,5,12,15,40
6741,0,2,1,4,2,0,3,1,9,2,1,1,0,3,3,4,1,1,2,2,3,2,5,3,5,13,12,45
6742,2,1,1,4,2,14,3,5,6,0,6,1,0,0,0,2,8,1,1,3,0,1,0,2,5,10,0,30
6743,2,0,1,1,3,14,3,2,7,2,5,0,0,0,3,2,8,1,0,4,3,2,5,3,5,9,8,24
6744,1,3,1,4,2,8,3,5,6,6,7,7,2,0,0,7,8,1,1,2,0,0,0,1,5,9,18,50
6745,2,0,1,0,2,0,0,4,9,4,5,7,0,0,2,2,8,1,3,2,1,0,1,2,5,11,18,8
6746,6,1,1,5,2,12,3,2,9,4,5,1,0,3,3,4,8,2,0,2,3,2,5,3,5,10,10,4
6747,0,0,1,4,2,0,3,5,2,3,5,7,0,0,0,2,8,1,0,2,3,2,5,3,5,2,18,30
6748,1,0,1,4,0,5,3,5,7,2,5,0,0,3,3,4,8,1,0,2,0,0,3,2,5,9,17,55
6749,4,0,1,4,1,4,3,2,2,4,5,0,0,0,3,2,0,0,0,3,0,1,0,2,5,16,15,10
6750,1,0,1,2,3,0,0,2,7,4,5,7,0,3,0,2,8,1,0,2,0,1,1,2,5,13,0,9
6751,6,0,1,4,1,0,3,0,6,4,5,1,1,0,3,2,8,1,0,2,3,2,5,3,5,10,14,10
6752,5,3,1,4,0,10,3,5,7,4,5,0,0,3,3,2,8,3,5,2,0,1,3,1,5,10,11,30
6753,3,0,1,1,3,14,3,5,9,4,5,7,0,0,3,2,8,1,0,2,0,1,0,2,5,1,9,32
6754,0,2,1,2,0,14,3,5,7,2,5,7,0,0,3,2,1,1,0,2,0,0,3,2,5,16,9,13
6755,5,0,0,2,2,12,3,1,6,2,5,7,0,0,3,2,8,2,0,2,0,1,1,2,5,10,17,19
6756,0,2,1,1,2,5,3,1,6,0,5,1,0,0,3,2,8,2,1,9,0,1,0,2,5,1,13,0
6757,2,1,1,2,1,5,3,5,7,2,5,1,0,0,3,2,2,0,0,9,0,1,1,2,5,0,13,5
6758,3,2,1,4,0,0,3,5,6,3,5,1,0,3,0,2,8,1,5,2,0,1,0,2,5,9,20,30
6759,0,0,1,4,2,0,3,1,6,2,7,1,0,0,3,2,1,0,0,2,3,2,5,3,5,0,19,0
6760,2,0,1,1,1,4,3,5,9,4,5,7,0,0,3,2,8,1,0,7,3,2,5,3,5,1,18,30
6761,2,2,1,4,3,9,3,0,7,2,5,0,0,0,3,2,6,1,1,4,3,2,5,3,5,1,16,40
6762,0,3,1,4,0,14,3,5,9,0,5,7,0,0,3,2,8,1,0,2,0,1,1,2,5,1,20,30
6763,5,0,1,1,1,9,3,5,7,2,5,1,0,0,3,2,8,1,0,2,3,2,5,3,5,10,12,25
6764,0,1,1,1,2,0,3,5,7,2,5,1,0,0,3,2,1,0,0,2,0,1,1,2,5,10,17,53
6765,6,4,1,4,2,5,3,3,6,6,7,1,0,0,3,2,8,2,0,5,2,1,1,2,5,16,18,30
6766,0,1,1,4,2,0,3,1,6,0,5,0,0,0,3,2,8,1,1,2,0,0,1,2,5,10,17,43
6767,5,4,1,4,4,8,3,5,9,2,5,0,0,0,3,2,8,1,0,2,0,1,4,2,5,10,8,5
6768,3,1,1,4,3,8,0,1,1,4,5,1,0,0,0,2,8,1,3,3,1,1,4,2,5,1,21,15
6769,2,1,1,4,3,15,3,5,6,4,5,1,0,0,0,2,8,0,0,2,0,1,0,2,5,11,19,42
6770,4,1,1,4,3,14,3,5,7,2,5,0,0,0,3,2,8,1,0,2,0,1,1,2,5,10,19,30
6771,2,0,1,4,2,7,3,5,6,4,5,7,0,0,3,2,8,4,0,2,3,2,5,3,5,1,8,55
6772,2,0,1,4,0,14,3,5,6,6,7,7,0,3,0,2,8,1,4,2,0,1,2,2,5,12,17,55
6773,0,2,1,4,0,9,3,5,7,4,5,0,0,3,3,2,1,2,0,2,3,2,5,3,5,9,19,0
6774,0,0,1,2,2,0,3,5,6,4,5,7,0,3,3,2,8,1,0,2,3,2,5,3,5,10,22,5
6775,1,2,1,4,2,7,0,1,9,2,5,0,2,0,3,2,2,1,0,2,3,2,5,3,5,10,16,10
6776,5,1,1,4,0,6,3,5,5,2,5,0,0,0,0,2,2,1,0,2,3,2,5,3,5,3,4,28
6777,1,0,1,2,4,4,3,1,6,0,5,7,0,0,0,2,8,1,0,4,0,1,0,2,5,11,17,34
6778,1,0,1,4,2,7,1,3,7,2,5,0,0,0,0,2,2,1,0,2,3,2,5,3,5,3,0,51
6779,3,1,1,4,2,0,3,1,6,0,5,1,0,0,3,2,8,1,0,7,0,1,0,2,5,9,15,17
6780,4,0,1,4,4,5,3,4,9,2,5,1,0,0,3,2,8,1,0,2,0,1,0,2,5,10,17,48
6781,5,0,1,4,2,14,3,3,6,2,5,7,0,3,0,3,8,1,2,2,3,2,5,3,5,0,19,0
6782,0,4,1,4,4,9,0,4,9,6,3,0,0,0,3,2,8,1,2,3,2,1,2,2,0,3,10,4
6783,5,0,1,4,0,3,3,0,6,2,5,0,0,0,3,2,8,0,0,2,2,0,3,1,5,12,16,10
6784,1,0,1,4,3,5,3,5,6,4,5,3,0,3,3,5,2,1,0,2,0,0,0,2,5,9,8,14
6785,1,0,1,4,2,14,3,5,12,4,5,1,2,3,3,4,8,0,0,2,0,1,0,2,5,1,8,4
6786,6,4,1,4,1,4,3,5,9,2,5,7,0,0,3,2,8,1,0,2,0,0,1,2,5,11,14,34
6787,1,3,1,4,1,8,3,5,0,4,5,1,0,0,3,2,6,2,2,2,0,1,1,2,5,10,18,10
6788,1,1,1,4,3,11,3,2,6,4,5,1,0,0,3,2,8,1,1,2,3,2,5,3,5,16,17,2
6789,3,0,1,4,3,14,3,5,6,1,5,3,0,0,3,2,2,1,0,2,2,1,0,2,1,9,17,35
6790,5,4,1,4,0,3,3,0,6,2,5,7,0,3,3,3,8,1,0,7,1,1,1,2,5,10,14,20
6791,0,0,1,4,4,3,3,5,6,1,5,1,0,0,3,2,8,1,0,9,3,2,5,3,5,9,13,40
6792,6,1,1,4,1,0,3,5,6,0,5,7,3,3,2,2,8,0,0,2,3,2,5,3,5,1,8,43
6793,4,1,1,4,2,8,3,5,7,1,5,7,0,0,3,2,1,1,0,9,0,1,1,2,5,1,9,0
6794,5,1,1,4,3,0,3,3,12,4,5,7,0,3,2,4,8,2,0,1,2,1,3,2,1,1,16,42
6795,2,0,1,4,4,0,0,0,7,0,5,0,2,0,3,2,8,0,1,2,2,1,0,1,2,1,21,55
6796,2,0,1,4,0,0,3,5,7,2,5,7,0,3,0,4,8,1,0,2,0,1,1,2,5,12,22,40
6797,2,3,1,1,4,0,3,2,12,6,5,7,0,0,0,2,2,0,0,4,3,2,5,3,5,9,20,10
6798,5,0,1,2,3,7,3,0,6,4,5,0,0,3,0,2,8,1,0,2,2,0,1,1,5,3,19,8
6799,6,1,1,4,3,0,3,5,7,4,5,1,0,3,0,4,2,1,0,1,0,1,1,2,5,12,5,50
6800,4,0,1,0,0,0,3,1,7,4,5,7,2,3,0,8,1,1,0,11,0,1,0,2,5,13,7,0
6801,0,1,1,4,2,7,3,1,7,2,5,1,0,0,0,2,8,1,1,2,1,0,3,2,5,12,22,25
6802,0,1,1,1,2,8,3,3,7,4,5,1,0,0,3,2,8,2,0,2,3,2,5,3,5,0,11,30
6803,6,0,1,2,0,6,1,5,1,2,5,7,2,3,0,2,8,0,0,7,3,2,5,3,5,1,8,10
6804,5,1,1,4,2,5,3,3,6,6,5,0,0,0,0,2,8,1,0,2,2,0,3,1,1,0,20,40
6805,4,1,1,4,1,8,3,5,6,2,5,7,0,0,3,2,2,1,0,2,3,2,5,3,5,4,19,39
6806,5,1,1,4,4,0,3,5,6,4,7,1,0,3,3,4,2,0,0,0,3,2,5,3,5,0,15,40
6807,5,4,0,4,2,5,3,5,6,0,1,1,0,0,3,2,8,2,0,2,3,2,5,3,5,15,16,35
6808,2,1,1,4,3,15,0,2,2,2,5,7,0,0,3,0,8,1,1,1,3,2,5,3,5,4,15,20
6809,4,1,1,4,1,5,3,5,6,2,5,7,0,3,3,2,8,0,0,2,0,1,3,2,5,1,8,10
6810,3,1,1,4,3,8,3,5,6,2,5,7,0,0,3,2,8,1,0,2,0,0,0,2,5,16,13,7
6811,3,1,1,4,2,14,3,5,9,2,5,7,0,0,3,2,8,2,1,9,3,2,5,3,5,13,15,15
6812,1,4,0,1,1,0,3,1,7,4,5,7,0,3,0,2,8,1,0,1,2,0,3,1,5,3,1,49
6813,2,1,1,4,2,8,3,5,13,6,5,7,0,3,3,2,8,1,3,2,3,2,5,3,5,13,15,4
6814,1,0,1,4,1,7,3,5,12,2,5,1,0,0,0,2,2,1,1,2,3,2,5,3,5,10,18,30
6815,0,0,1,4,3,9,3,5,2,0,5,7,0,0,3,2,8,2,1,2,0,1,1,2,5,0,15,45
6816,2,0,1,4,2,11,3,3,9,4,5,1,0,0,0,2,2,0,1,2,3,2,5,3,5,3,3,15
6817,2,0,1,4,4,13,3,5,2,6,5,0,0,0,3,2,2,2,0,3,0,1,1,2,5,3,12,0
6818,1,2,1,4,1,0,3,1,7,4,5,7,0,3,3,4,8,1,3,2,1,1,2,1,5,10,15,31
6819,1,1,2,4,2,7,3,3,4,2,5,0,2,0,3,2,8,0,0,2,1,0,4,2,5,12,18,4
6820,5,1,1,4,1,0,3,4,7,2,5,1,0,0,3,2,8,2,0,2,0,1,0,2,5,12,16,0
6821,2,0,1,1,2,0,3,0,7,6,3,7,0,0,3,2,8,2,0,2,3,2,5,3,5,10,21,0
6822,0,4,1,4,3,0,3,5,6,2,5,5,0,0,0,2,2,0,1,2,2,0,0,2,1,9,16,55
6823,4,4,1,4,2,0,0,1,1,4,5,1,0,0,3,2,2,2,2,2,3,2,5,3,5,0,12,0
6824,4,0,1,1,1,9,3,5,1,2,5,7,0,0,0,2,2,0,0,2,0,1,0,2,5,13,9,20
6825,6,1,1,4,0,0,1,2,2,2,5,7,0,0,3,2,8,1,0,2,0,1,0,2,5,10,8,0
6826,4,2,1,1,1,0,3,5,2,2,5,7,0,0,3,2,8,1,0,7,3,2,5,3,5,11,13,15
6827,6,1,1,4,2,7,3,1,7,2,5,7,0,3,3,4,8,2,0,2,3,2,5,3,5,9,11,30
6828,4,2,1,4,2,3,3,5,7,2,6,7,0,3,3,3,8,1,1,4,3,2,5,3,5,0,8,55
6829,0,4,1,4,6,7,3,5,7,2,5,1,0,0,0,2,8,1,0,2,1,0,0,2,5,9,22,5
6830,1,0,1,4,3,0,3,2,7,2,5,7,0,0,3,2,8,1,0,2,3,2,5,3,5,10,13,28
6831,5,0,1,4,3,13,3,5,7,1,5,3,0,0,3,2,8,0,0,2,1,1,0,1,5,0,15,25
6832,1,0,1,4,5,0,0,1,7,2,5,7,0,0,3,2,8,1,0,2,3,2,5,3,5,9,8,12
6833,3,1,1,1,2,7,3,5,7,4,5,0,0,0,0,2,2,1,1,2,3,2,5,3,5,1,1,20
6834,3,2,1,1,2,14,3,1,7,4,7,1,0,0,0,2,8,1,1,2,0,1,0,2,5,11,1,29
6835,0,0,1,4,1,0,3,5,6,1,5,1,0,0,3,2,8,0,0,7,2,0,4,2,2,0,15,20
6836,3,0,1,4,1,11,3,5,2,2,5,1,0,3,3,8,8,1,2,4,0,1,3,2,5,3,15,15
6837,5,0,1,4,4,14,3,1,7,6,5,0,0,0,3,2,8,1,2,9,0,1,4,2,5,13,16,40
6838,2,4,1,4,0,3,3,3,9,2,5,1,0,0,3,2,6,2,4,2,3,2,5,3,5,3,20,10
6839,5,4,1,4,4,0,3,5,6,2,5,7,0,0,0,2,2,1,0,2,3,2,5,3,5,12,20,8
6840,3,1,1,4,1,0,0,5,9,6,5,1,0,0,3,2,0,0,0,7,3,2,5,3,5,10,16,40
6841,5,1,1,4,3,5,3,2,7,2,5,7,0,3,2,4,8,2,0,9,3,2,5,3,5,0,16,42
6842,6,1,1,6,4,5,3,5,6,0,5,7,0,0,3,2,8,1,0,2,0,1,1,2,5,12,8,0
6843,5,4,0,4,2,5,3,0,7,0,5,1,0,0,0,2,8,0,0,2,2,1,1,2,3,1,17,15
6844,2,0,1,6,4,0,3,5,6,4,5,1,0,0,3,2,2,0,0,8,3,2,5,3,5,3,12,42
6845,5,0,1,4,3,0,3,5,6,6,5,1,0,0,3,2,8,1,2,2,0,1,1,2,5,16,15,45
6846,5,0,2,1,1,0,3,5,7,2,5,7,0,0,3,2,8,0,0,2,2,1,1,2,6,16,18,45
6847,4,0,1,4,2,8,3,2,6,4,5,1,3,0,3,2,8,2,3,2,2,1,3,1,1,3,17,19
6848,2,0,1,4,1,8,3,5,7,2,5,7,0,0,3,2,8,1,0,2,0,1,1,2,5,10,4,55
6849,5,0,1,4,4,8,3,5,9,2,5,7,0,0,3,2,8,1,0,9,1,0,1,2,5,9,17,30
6850,3,0,1,1,4,0,3,2,7,2,5,0,0,0,3,2,8,1,0,2,3,2,5,3,5,3,13,15
6851,0,1,1,4,0,0,3,5,9,2,5,7,0,3,3,2,8,2,3,2,3,2,5,3,5,0,18,30
6852,5,1,1,4,3,11,3,5,1,1,5,1,0,0,0,2,2,5,0,2,3,2,5,3,5,1,22,40
6853,3,2,1,4,2,1,3,1,5,2,7,1,0,0,3,2,8,0,0,4,0,1,1,2,5,1,13,55
6854,0,0,1,4,3,5,3,5,7,4,5,7,2,0,3,2,1,1,0,2,0,1,0,2,5,1,7,10
6855,6,0,1,2,2,7,3,5,6,1,5,7,0,0,0,2,7,1,1,2,0,1,1,1,5,17,17,43
6856,2,0,1,1,1,5,3,5,7,4,5,7,2,0,3,2,8,1,1,2,0,1,1,2,5,3,20,30
6857,5,4,1,4,2,0,3,5,1,4,5,7,0,0,3,2,8,0,0,2,3,2,5,3,5,12,16,55
6858,2,0,1,4,3,14,3,5,6,2,5,7,0,0,3,2,8,1,0,3,3,2,5,3,5,0,14,0
6859,5,3,1,4,4,5,3,2,6,2,5,1,0,0,3,2,8,1,0,4,0,0,1,2,5,1,17,8
6860,1,0,1,6,2,0,3,5,6,2,5,0,0,0,3,2,8,1,0,2,0,0,3,2,5,0,11,50
6861,2,0,1,4,1,4,3,1,7,4,5,1,0,3,3,2,8,2,0,2,0,1,0,2,5,0,9,36
6862,5,4,0,4,2,0,3,5,6,2,5,1,0,3,0,4,8,1,0,2,3,2,5,3,5,12,19,50
6863,6,4,0,4,4,0,3,3,7,6,5,1,0,3,0,7,8,1,0,9,0,0,4,2,5,14,19,55
6864,0,0,1,4,4,0,3,5,7,2,5,7,0,0,0,2,8,1,1,2,0,1,3,2,5,0,21,5
6865,0,4,1,4,2,15,3,3,9,6,5,0,0,0,0,2,8,1,1,3,0,1,1,2,5,10,22,15
6866,6,3,1,4,0,0,3,5,7,4,5,7,0,0,3,2,8,1,3,2,3,2,5,3,5,11,5,5
6867,0,4,1,0,1,5,3,2,7,4,5,7,0,0,3,2,8,2,0,4,0,1,4,2,5,1,13,0
6868,3,1,1,1,2,9,3,3,6,2,2,1,0,0,3,2,8,0,0,2,3,2,5,3,5,3,13,50
6869,5,1,1,4,5,0,3,0,6,4,6,7,0,0,3,2,8,1,2,2,3,2,5,3,5,1,8,17
6870,4,0,1,1,1,5,3,3,9,6,5,0,0,3,3,4,8,1,2,2,1,0,0,2,5,10,7,53
6871,0,2,1,1,2,0,3,5,6,1,5,7,0,0,3,2,8,0,0,2,3,2,5,3,5,13,8,29
6872,6,1,1,4,0,11,3,5,6,2,5,7,0,0,0,2,8,1,0,3,0,0,3,2,5,1,7,7
6873,2,1,1,1,3,4,3,2,6,2,5,1,0,0,0,2,8,0,0,2,1,0,4,2,5,0,22,25
6874,3,1,1,4,4,14,3,1,9,2,5,0,0,0,0,2,8,1,0,7,3,2,5,3,5,4,19,30
6875,1,2,1,4,1,8,3,1,9,1,5,0,0,0,3,2,8,1,0,2,1,1,0,2,5,7,16,50
6876,1,0,2,4,0,5,3,0,6,0,5,0,0,0,3,2,2,1,0,2,2,1,4,2,6,1,17,10
6877,4,1,1,4,2,5,3,5,6,1,5,3,0,0,0,2,8,0,0,4,0,1,1,2,5,1,17,28
6878,0,1,1,4,4,7,3,5,7,1,5,7,0,0,3,2,8,0,0,2,3,2,5,3,5,11,17,35
6879,0,0,1,4,2,7,3,1,6,1,3,7,0,0,3,2,2,1,0,2,3,2,5,3,5,10,5,55
6880,5,3,1,4,1,4,0,4,7,2,5,1,0,0,0,2,2,1,0,2,3,2,5,3,5,11,18,0
6881,0,2,1,4,2,0,3,5,9,6,5,0,0,0,0,2,0,1,1,2,3,2,5,3,5,3,20,30
6882,0,4,0,4,2,8,3,5,4,4,5,7,2,0,3,2,8,1,0,2,3,2,5,3,5,3,9,40
6883,1,2,1,4,2,0,1,1,6,2,7,1,2,2,3,2,8,3,1,2,0,0,0,1,5,13,15,8
6884,6,0,1,4,0,0,3,5,7,1,5,7,0,0,3,2,8,1,0,7,3,2,5,3,5,1,7,15
6885,2,1,1,4,2,10,3,5,7,2,5,7,0,0,3,2,8,1,0,4,3,2,5,3,5,10,6,50
6886,6,0,1,4,0,8,3,2,7,2,5,7,0,0,3,2,8,1,0,4,0,1,0,2,5,3,9,12
6887,0,4,1,4,0,13,3,5,6,2,5,1,0,0,0,7,8,1,1,2,0,1,4,2,5,0,20,30
6888,5,0,1,4,2,14,0,5,6,4,5,1,0,3,3,4,8,1,3,2,0,1,0,2,5,12,15,30
6889,5,1,1,1,2,9,3,5,7,2,5,1,0,0,0,2,2,2,0,2,3,2,5,3,5,12,20,32
6890,5,1,1,4,3,0,3,1,2,2,5,7,0,0,3,0,8,1,1,2,3,2,5,3,5,14,17,10
6891,4,1,1,4,0,8,3,4,3,4,5,3,0,0,0,2,8,1,0,2,3,2,5,3,5,10,18,36
6892,6,0,1,4,1,4,3,3,9,4,5,1,0,3,3,4,8,1,1,4,3,2,5,3,5,1,17,23
6893,2,0,1,4,1,7,3,5,6,5,5,7,0,0,3,2,8,0,0,2,0,1,0,2,5,3,16,27
6894,6,1,1,1,2,0,3,3,0,6,3,7,0,0,3,2,8,2,0,2,1,0,1,2,5,10,14,15
6895,6,4,1,4,2,5,3,3,7,4,5,0,0,3,3,2,8,1,0,9,3,2,5,3,5,5,8,15
6896,4,2,1,2,3,5,0,4,5,4,5,0,0,0,3,2,1,1,0,2,3,2,5,3,5,10,13,15
6897,0,2,1,4,3,5,3,3,6,4,5,7,0,0,3,2,8,2,1,3,0,1,0,1,5,12,12,8
6898,2,3,1,4,2,4,3,3,2,2,5,1,0,0,3,2,8,1,0,7,0,1,2,2,5,10,14,45
6899,6,1,1,4,2,0,3,3,9,2,5,3,0,0,3,2,8,1,0,3,1,0,4,2,5,3,18,18
6900,1,2,1,4,2,0,3,2,6,4,5,1,0,0,3,2,8,2,0,2,3,2,5,3,5,0,15,20
6901,5,0,1,1,1,9,3,5,7,2,5,1,0,0,3,2,8,1,0,3,0,1,1,2,5,3,8,28
6902,2,0,1,4,2,0,3,5,7,2,5,7,0,0,3,0,8,0,0,2,0,1,0,1,5,12,13,55
6903,3,2,1,1,2,7,3,5,2,2,5,0,0,0,0,2,8,1,1,7,1,1,2,2,5,13,20,10
6904,6,1,1,4,0,8,3,1,9,2,5,7,0,0,3,7,8,1,0,5,0,1,1,1,5,1,13,45
6905,2,1,1,4,4,0,3,0,7,6,3,1,0,3,0,3,8,1,0,2,3,2,5,3,5,9,1,0
6906,4,1,1,1,1,0,1,1,4,2,5,1,0,0,3,2,8,3,0,2,3,2,5,3,5,1,18,30
6907,5,0,1,4,3,0,3,5,6,4,5,0,0,3,0,2,2,1,1,7,0,1,0,2,5,3,21,5
6908,0,1,1,4,3,9,3,5,4,4,5,1,0,3,3,4,6,1,0,2,0,1,0,2,5,0,17,45
6909,6,1,1,4,0,5,3,1,2,2,5,0,0,0,3,2,8,2,0,2,0,1,1,2,5,0,18,25
6910,4,0,1,4,1,10,3,5,6,4,5,1,0,0,3,2,2,1,0,2,2,1,0,1,1,1,8,40
6911,3,2,1,4,0,0,3,2,6,2,5,1,0,3,0,4,8,1,2,2,3,2,5,3,5,10,17,22
6912,5,0,1,2,1,8,3,5,6,2,5,0,0,3,0,4,8,1,0,2,2,1,4,2,4,4,20,32
6913,5,0,1,4,1,14,3,1,9,2,5,0,0,0,0,2,1,1,0,2,2,1,4,2,5,1,18,40
6914,4,0,1,4,4,7,3,5,6,4,5,1,0,0,3,2,8,1,1,2,0,1,0,2,5,11,20,40
6915,2,0,1,1,1,4,3,5,2,2,5,7,0,0,3,2,8,1,0,2,1,0,1,2,5,8,12,0
6916,5,0,1,4,2,4,1,0,2,2,5,7,0,0,3,2,8,1,0,2,2,0,0,1,5,10,18,40
6917,1,1,1,4,2,15,3,5,6,2,5,1,0,0,3,2,2,1,0,2,1,1,3,2,5,9,14,58
6918,1,0,1,4,2,3,3,2,2,4,3,7,0,0,3,2,1,3,0,2,0,1,0,2,5,1,17,41
6919,6,0,1,4,2,7,3,5,7,2,5,7,0,3,3,3,8,1,0,2,3,2,5,3,5,3,15,30
6920,4,2,1,1,2,0,3,0,6,2,6,1,0,0,3,2,6,1,0,2,0,1,0,1,5,2,7,26
6921,4,0,1,4,3,5,3,5,7,2,5,1,0,0,0,2,8,2,2,2,3,2,5,3,5,3,21,11
6922,0,0,1,4,1,0,3,0,4,1,5,7,0,0,3,2,1,1,0,2,2,1,3,2,5,12,17,21
6923,3,2,1,4,4,8,0,0,7,0,5,5,0,0,3,2,2,1,2,2,3,2,5,3,5,12,12,37
6924,6,2,1,1,1,8,3,3,3,2,5,1,3,3,0,3,8,2,0,2,1,0,0,2,5,9,18,43
6925,6,4,1,4,2,14,3,5,6,2,5,7,0,3,0,2,8,1,0,2,2,0,0,2,0,6,8,10
6926,2,0,1,4,4,0,3,0,10,4,1,7,0,0,3,2,2,1,0,2,0,1,1,2,5,13,18,30
6927,4,0,1,1,4,7,3,5,7,2,5,1,0,0,3,2,8,1,3,9,0,1,4,2,5,16,7,25
6928,4,1,1,1,0,0,3,5,7,4,5,1,0,3,0,2,8,3,1,7,1,1,2,2,5,10,17,21
6929,1,4,0,1,3,9,3,5,6,1,5,7,0,0,0,3,8,2,2,4,3,2,5,3,5,4,19,8
6930,6,1,1,4,3,6,3,3,9,4,5,0,0,0,0,2,1,1,0,2,3,2,5,3,5,10,23,35
6931,4,0,1,4,1,14,3,5,9,4,5,1,0,3,0,2,8,3,1,2,0,0,3,2,5,10,17,21
6932,0,1,1,4,0,10,3,5,7,6,3,1,0,3,2,2,2,0,0,1,3,2,5,3,5,10,5,24
6933,3,0,1,4,0,8,3,2,7,2,5,7,0,0,3,2,8,2,1,2,3,2,5,3,5,8,15,15
6934,6,1,1,2,3,5,3,5,7,4,5,7,0,0,3,2,8,1,0,2,0,1,0,2,5,8,8,14
6935,4,4,0,0,0,0,3,0,6,4,7,7,0,0,0,2,2,0,0,3,3,2,5,3,5,16,2,19
6936,3,1,1,0,0,12,3,1,10,4,1,1,0,3,0,2,1,1,4,0,0,1,1,1,5,12,18,30
6937,2,4,0,1,3,0,0,5,2,2,5,7,0,0,3,2,8,0,0,4,3,2,5,3,5,10,20,35
6938,4,0,1,4,1,0,3,5,7,1,5,1,0,3,0,2,8,3,1,2,1,0,2,2,5,0,21,25
6939,6,0,1,4,0,10,3,0,6,2,5,3,0,3,3,4,6,1,0,2,0,1,0,2,5,15,8,30
6940,4,3,1,4,2,5,3,4,7,4,6,7,0,0,0,2,8,1,1,2,0,1,0,2,5,9,7,58
6941,3,1,1,4,4,0,3,5,7,2,5,1,0,3,3,8,2,0,0,0,0,0,0,2,5,9,11,45
6942,0,0,1,4,0,14,3,5,9,6,5,7,0,0,3,2,2,2,0,4,3,2,5,3,5,4,9,25
6943,5,0,1,1,1,16,3,5,9,6,5,7,0,0,0,2,8,2,2,3,0,1,1,2,5,11,23,45
6944,6,2,1,4,2,9,3,5,7,1,5,7,0,0,3,2,8,1,0,2,0,1,3,2,5,3,17,46
6945,1,0,1,4,3,5,3,5,6,6,7,7,0,0,3,2,8,2,2,2,0,1,1,2,5,0,12,55
6946,6,1,1,4,1,9,3,0,7,0,5,1,0,0,3,2,8,1,2,2,3,2,5,3,5,9,18,12
6947,1,4,1,4,1,5,0,5,9,2,5,7,0,0,3,2,8,1,1,2,0,1,0,1,5,11,22,5
6948,4,4,1,4,2,0,0,0,7,4,5,7,2,3,2,4,8,0,0,2,3,2,5,3,5,3,18,10
6949,5,1,1,1,2,8,3,2,6,2,5,0,0,0,0,2,8,1,0,3,0,1,3,2,5,18,22,40
6950,6,1,1,4,2,0,3,2,9,1,5,1,0,0,3,2,8,0,1,2,3,2,5,3,5,5,14,23
6951,1,4,0,1,2,0,3,3,6,2,5,1,0,0,3,2,8,1,0,2,0,1,0,2,5,11,9,45
6952,3,2,1,4,3,9,3,0,7,6,5,1,2,3,0,2,8,1,5,2,0,1,4,2,5,1,20,30
6953,0,2,1,4,4,7,3,5,7,4,5,7,0,0,3,2,8,0,0,1,1,1,4,2,5,17,16,0
6954,0,1,1,4,1,7,3,1,6,4,5,1,0,0,3,2,8,2,2,2,3,2,5,3,5,12,16,55
6955,4,0,1,4,2,0,3,5,6,2,5,1,0,0,3,2,8,3,4,3,2,0,1,2,1,10,18,56
